省,年份,家谱数量
安徽,1867,4
安徽,1868,10
安徽,1869,14
安徽,1870,7
安徽,1871,8
安徽,1872,11
安徽,1873,11
安徽,1874,15
安徽,1875,9
安徽,1876,10
安徽,1877,8
安徽,1878,12
安徽,1879,6
安徽,1880,11
安徽,1881,9
安徽,1882,9
安徽,1883,6
安徽,1884,11
安徽,1885,6
安徽,1886,7
安徽,1887,7
安徽,1888,6
安徽,1889,7
安徽,1890,7
安徽,1891,11
安徽,1892,9
安徽,1893,13
安徽,1894,12
安徽,1895,11
安徽,1896,14
安徽,1897,16
安徽,1898,5
安徽,1899,8
安徽,1900,16
安徽,1901,16
安徽,1902,13
安徽,1903,11
安徽,1904,18
安徽,1905,16
安徽,1906,16
安徽,1907,15
安徽,1908,15
安徽,1909,15
安徽,1910,17
安徽,1911,19
安徽,1912,11
安徽,1913,9
安徽,1914,14
安徽,1915,21
安徽,1916,25
安徽,1917,17
安徽,1918,16
安徽,1919,18
安徽,1920,20
安徽,1921,15
安徽,1922,14
安徽,1923,20
安徽,1924,25
安徽,1925,20
安徽,1926,15
安徽,1927,13
安徽,1928,13
安徽,1929,11
安徽,1930,15
安徽,1931,19
安徽,1932,14
安徽,1933,15
安徽,1934,9
安徽,1935,10
安徽,1936,7
安徽,1937,8
安徽,1938,2
安徽,1939,7
安徽,1940,12
安徽,1941,12
安徽,1942,11
安徽,1943,9
安徽,1944,5
安徽,1945,5
安徽,1946,11
安徽,1947,10
安徽,1948,8
安徽,1949,5
安徽,1950,3
安徽,1955,1
安徽,1957,1
安徽,1962,1
安徽,1964,1
安徽,1967,2
安徽,1970,1
安徽,1973,2
安徽,1982,3
安徽,1984,2
安徽,1985,1
安徽,1986,2
安徽,1987,2
安徽,1988,15
安徽,1989,13
安徽,1990,40
安徽,1991,32
安徽,1992,7
安徽,1993,10
安徽,1994,14
安徽,1995,16
安徽,1996,27
安徽,1997,18
安徽,1998,21
安徽,1999,25
安徽,2000,40
安徽,2001,23
安徽,2002,24
安徽,2003,40
安徽,2004,47
安徽,2005,49
安徽,2006,67
安徽,2007,49
安徽,2008,73
安徽,2009,57
安徽,2010,58
安徽,2011,57
安徽,2012,70
安徽,2013,61
安徽,2014,76
安徽,2015,83
安徽,2016,98
安徽,2017,106
安徽,2018,99
安徽,2019,66
安徽,2020,60
安徽,2021,41
安徽,2022,16
安徽,2023,15
山东,1242,1
山东,1574,1
山东,1617,1
山东,1630,1
山东,1637,1
山东,1673,1
山东,1675,1
山东,1681,1
山东,1684,1
山东,1685,1
山东,1714,1
山东,1717,1
山东,1725,1
山东,1727,1
山东,1728,1
山东,1731,1
山东,1733,1
山东,1740,1
山东,1741,1
山东,1745,2
山东,1750,1
山东,1751,1
山东,1752,2
山东,1753,1
山东,1756,1
山东,1759,1
山东,1760,1
山东,1763,1
山东,1765,1
山东,1766,1
山东,1770,1
山东,1772,1
山东,1773,1
山东,1778,1
山东,1779,1
山东,1783,1
山东,1787,1
山东,1789,1
山东,1792,1
山东,1793,1
山东,1794,1
山东,1797,2
山东,1798,1
山东,1801,3
山东,1802,1
山东,1803,1
山东,1804,3
山东,1805,1
山东,1807,1
山东,1808,2
山东,1811,1
山东,1812,2
山东,1815,2
山东,1816,2
山东,1818,2
山东,1820,1
山东,1822,1
山东,1823,1
山东,1824,2
山东,1825,1
山东,1827,1
山东,1828,1
山东,1829,1
山东,1830,2
山东,1831,2
山东,1832,2
山东,1834,2
山东,1836,1
山东,1837,2
山东,1838,2
山东,1839,1
山东,1840,1
山东,1841,2
山东,1842,1
山东,1843,1
山东,1844,5
山东,1845,3
山东,1846,4
山东,1847,3
山东,1848,2
山东,1849,2
山东,1850,1
山东,1851,4
山东,1852,1
山东,1854,1
山东,1855,3
山东,1856,1
山东,1857,2
山东,1858,1
山东,1860,1
山东,1861,2
山东,1862,3
山东,1863,2
山东,1864,1
山东,1865,2
山东,1866,1
山东,1867,1
山东,1868,1
山东,1869,4
山东,1870,2
山东,1871,4
山东,1872,1
山东,1873,5
山东,1874,5
山东,1875,2
山东,1876,1
山东,1878,3
山东,1879,3
山东,1880,3
山东,1881,1
山东,1882,4
山东,1883,3
山东,1884,3
山东,1885,3
山东,1886,1
山东,1887,3
山东,1888,2
山东,1890,1
山东,1891,2
山东,1892,7
山东,1893,2
山东,1894,3
山东,1895,3
山东,1896,1
山东,1897,3
山东,1898,2
山东,1899,3
山东,1900,5
山东,1901,1
山东,1902,3
山东,1903,2
山东,1904,7
山东,1905,2
山东,1906,6
山东,1907,5
山东,1908,11
山东,1909,8
山东,1910,7
山东,1911,6
山东,1912,1
山东,1913,3
山东,1914,5
山东,1915,6
山东,1916,7
山东,1917,7
山东,1918,4
山东,1919,6
山东,1920,6
山东,1921,6
山东,1922,3
山东,1923,1
山东,1924,10
山东,1925,6
山东,1926,7
山东,1927,7
山东,1928,7
山东,1929,2
山东,1930,7
山东,1931,8
山东,1932,15
山东,1933,15
山东,1934,6
山东,1935,19
山东,1936,26
山东,1937,12
山东,1938,9
山东,1939,2
山东,1940,2
山东,1941,6
山东,1942,5
山东,1943,5
山东,1944,3
山东,1946,3
山东,1947,1
山东,1948,1
山东,1949,13
山东,1950,9
山东,1951,9
山东,1952,2
山东,1953,6
山东,1954,8
山东,1955,4
山东,1956,3
山东,1957,4
山东,1958,9
山东,1960,4
山东,1961,3
山东,1962,26
山东,1963,17
山东,1964,3
山东,1965,4
山东,1966,6
山东,1967,2
山东,1968,2
山东,1969,1
山东,1970,3
山东,1972,1
山东,1973,1
山东,1975,2
山东,1976,1
山东,1977,2
山东,1978,1
山东,1979,2
山东,1980,7
山东,1981,11
山东,1982,11
山东,1983,4
山东,1984,10
山东,1985,15
山东,1986,15
山东,1987,12
山东,1988,15
山东,1989,19
山东,1990,26
山东,1991,15
山东,1992,23
山东,1993,44
山东,1994,43
山东,1995,40
山东,1996,60
山东,1997,31
山东,1998,45
山东,1999,59
山东,2000,59
山东,2001,43
山东,2002,54
山东,2003,50
山东,2004,69
山东,2005,72
山东,2006,85
山东,2007,98
山东,2008,114
山东,2009,104
山东,2010,128
山东,2011,94
山东,2012,145
山东,2013,128
山东,2014,152
山东,2015,134
山东,2016,140
山东,2017,126
山东,2018,101
山东,2019,81
山东,2020,61
山东,2021,20
山东,2022,24
山东,2023,15
山西,1649,1
山西,1651,1
山西,1668,2
山西,1676,1
山西,1681,1
山西,1697,1
山西,1713,1
山西,1715,2
山西,1726,1
山西,1729,1
山西,1735,1
山西,1741,1
山西,1744,1
山西,1765,1
山西,1774,2
山西,1781,1
山西,1787,1
山西,1790,2
山西,1791,1
山西,1797,1
山西,1798,1
山西,1801,1
山西,1803,1
山西,1805,1
山西,1807,1
山西,1810,1
山西,1812,1
山西,1813,1
山西,1814,1
山西,1815,1
山西,1819,1
山西,1820,2
山西,1821,2
山西,1822,1
山西,1827,2
山西,1833,1
山西,1834,2
山西,1841,1
山西,1843,2
山西,1845,4
山西,1846,1
山西,1847,4
山西,1848,2
山西,1849,1
山西,1851,1
山西,1852,1
山西,1854,1
山西,1856,1
山西,1857,1
山西,1858,1
山西,1859,1
山西,1860,1
山西,1864,2
山西,1865,2
山西,1869,1
山西,1871,1
山西,1872,3
山西,1873,1
山西,1874,1
山西,1876,1
山西,1878,1
山西,1883,1
山西,1884,2
山西,1886,2
山西,1887,1
山西,1891,1
山西,1901,1
山西,1902,1
山西,1904,2
山西,1907,1
山西,1908,3
山西,1913,1
山西,1914,1
山西,1915,2
山西,1916,5
山西,1917,2
山西,1918,1
山西,1920,1
山西,1921,1
山西,1922,1
山西,1925,1
山西,1926,1
山西,1928,4
山西,1929,1
山西,1930,1
山西,1931,7
山西,1932,3
山西,1933,6
山西,1934,3
山西,1935,1
山西,1936,3
山西,1937,2
山西,1939,1
山西,1941,4
山西,1942,5
山西,1944,1
山西,1947,2
山西,1949,1
山西,1951,1
山西,1954,2
山西,1955,1
山西,1958,1
山西,1963,2
山西,1964,1
山西,1969,1
